"","VerbPath","CAMEO"
"1","[[A,semagent,->],[W,kill,verb],[A,prep_in,<-]]","042"
"2","[[A,semagent,->],[W,send,verb],[A,prep_to,<-]]","042"
"3","[[A,semagent,->],[W,be,verb],[A,prep_in,<-]]","042"
"4","[[A,semagent,->],[W,have,verb],[A,dobj,<-],[W,troops,noun],[A,prep_in,<-]]","042"
"5","[[A,semagent,->],[W,die,verb],[A,prep_in,<-]]","042"
"6","[[A,semagent,->],[W,withdraw,verb],[A,prep_from,<-]]","0874"
"7","[[A,semagent,->],[W,leave,verb],[A,dobj,<-]]","042"
"8","[[A,semagent,->],[W,remain,verb],[A,prep_in,<-]]","042"
"9","[[A,semagent,->],[W,pull,verb],[A,prep_out_of,<-]]","042"
"10","[[A,semagent,->],[W,hold,verb],[A,prep_in,<-]]","042"
"11","[[A,semagent,->],[W,have,verb],[A,prep_in,<-]]","042"
"12","[[A,semagent,->],[W,deploy,verb],[A,prep_in,<-]]","042"
"13","[[A,semagent,->],[W,train,verb],[A,dobj,<-]]","042"
"14","[[A,semagent,->],[W,have,verb],[A,dobj,<-],[W,soldier,noun],[A,prep_in,<-]]","042"
"15","[[A,semagent,->],[W,invade,verb],[A,dobj,<-]]","042"
"16","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,send,verb],[A,prep_to,<-]]","042"
"17","[[A,semagent,->],[W,be,verb],[A,prep_since,<-],[W,invasion,noun],[A,prep_of,<-]]","042"
"18","[[A,semagent,->],[W,wound,verb],[A,prep_in,<-]]","042"
"19","[[A,semagent,->],[W,take,verb],[A,prep_in,<-]]","042"
"20","[[A,semagent,->],[W,condemn,verb],[A,prep_in,<-]]","042"
"21","[[A,semagent,->],[W,urge,verb],[A,prep_in,<-]]","042"
"22","[[A,semagent,->],[W,use,verb],[A,prep_in,<-]]","042"
"23","[[A,semagent,->],[W,call,verb],[A,prep_in,<-]]","042"
"24","[[A,semagent,->],[W,extend,verb],[A,prep_in,<-]]","042"
"25","[[A,semagent,->],[W,kill,verb],[A,prep_in,<-],[W,attack,noun],[A,prep_in,<-]]","042"
"26","[[A,semagent,->],[W,say,verb],[A,prep_in,<-]]","042"
"27","[[A,semagent,->],[W,discuss,verb],[A,dobj,<-]]","046"
"28","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,be,verb],[A,prep_in,<-]]","042"
"29","[[A,semagent,->],[W,say,verb],[A,dobj,<-]]","042"
"30","[[A,semagent,->],[W,serve,verb],[A,prep_in,<-]]","042"
"31","[[A,semagent,->],[W,crash,verb],[A,prep_in,<-]]","042"
"32","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,withdraw,verb],[A,prep_from,<-]]","042"
"33","[[A,semagent,->],[W,stay,verb],[A,prep_in,<-]]","042"
"34","[[A,semagent,->],[W,arrive,verb],[A,prep_in,<-]]","042"
"35","[[A,semagent,->],[W,oppose,verb],[A,prep_in,<-]]","042"
"36","[[A,semagent,->],[W,dispatch,verb],[A,prep_to,<-]]","042"
"37","[[A,semagent,->],[W,station,verb],[A,prep_in,<-]]","042"
"38","[[A,semagent,->],[W,detain,verb],[A,prep_in,<-]]","042"
"39","[[A,semagent,->],[W,maintain,verb],[A,dobj,<-],[W,troops,noun],[A,prep_in,<-]]","042"
"40","[[A,semagent,->],[W,maintain,verb],[A,prep_in,<-]]","042"
"41","[[A,semagent,->],[W,hand,verb],[A,prep_to,<-]]","042"
"42","[[A,semagent,->],[W,play,verb],[A,prep_in,<-]]","042"
"43","[[A,semagent,->],[W,have,verb],[A,dobj,<-],[W,troops,noun],[A,partmod,<-],[W,station,verb],[A,prep_in,<-]]","042"
